track_id,track,video_id,track_popularity,artist_popularity,like_count,view_count,senti_score,popularity_score
60RtLYOwzUKWOuVHFMH9mY,Save a Prayer - Single Version,6Uxc9eFcZyM,42,67,549724,107336465,1.0,10
48eeeHvDzNvtJiQh5XDs2N,Inventas,Tz5LXv0ygNA,54,62,71432,16574699,0.0,9
3UNrtRxBBlWE70SjxnOo02,Unpredictable (feat. Ludacris) - Main,Qc4G6tOgOYI,58,67,255618,33408078,0.3333333333333333,11
1R0GOPjljIJ997WnDXWW88,A Mi Manera,0bT65sQazQY,47,65,48921,9011767,0.0,4
2ISSQPb9LHHiV6ng2NXosL,Beautiful Now,n1a7o44WxNo,71,73,2010137,220190190,1.0,90
7pv80uUHfocFqfTytu1MVi,Didn't Cha Know,Np21rH7Ldto,71,65,314416,41959917,0.6000000000000001,27
5Qicor4jFNgZQxSf6UxEzw,Last Christmas - Single Version,E8gmARGvPlI,42,67,4229753,791582387,1.0,34
3f3omU8n47Mqyab5nCaGyT,Because of You,Ra-Om7UMSJc,71,73,2812068,530691508,1.0,62
4cktbXiXOapiLBMprHFErI,Memories,SlPhMPnQ58k,86,83,9328072,971694375,0.25,958
5YapFTzK50sdZcM6rWuL9M,Kiss Me,72371KM95W4,45,63,99,7027,0.3333333333333333,4
4OniQc8EwbqQnOeP2hhQpY,Bewajah,0m4GMu4wJRE,0,64,93642,17868084,0.0,5
7MJe06aTq57id8qtb1s2du,O.D.'d In Denver,huKwlgKmj5A,59,64,24622,5730900,0.25,6
2zhGnnDewN4kBsVzbqjBtX,Nessaja,wquCCFvbNhI,35,65,185797,50345960,1.0,9
6lknMmJZALXxx7emwwZWLX,Frozen,XS088Opj9o0,71,79,1378901,200475597,-0.5,256
5AhRNIjYPBleR1lfHphcrE,The Edge of Heaven,cCqEyJc-wdk,60,67,71043,13533531,1.0,4
6otiaV2fagE3s8IvP6WkwG,I'm Just a Kid,_GOR5gvQwDI,73,66,698470,59526997,1.0,24
00wU6YKnzNlavZ1TPpLUlp,"Sochenge Tumhe Pyar (From ""Deewana"")",lFdSi01tpYM,64,75,761051,165973342,1.0,48
7s41ZGjQB5Ur8T0fQlk5uM,Quiero Ver,4kSuJwYoxkw,68,67,244740,34043671,0.0,10
5uKHTLXNcftXtYfU7j9cQ6,I LIKE,Gb-IlOT3r_Q,73,79,58215,2376939,0.75,47
5anCkDvJ17aznvK5TED5uo,Hail to the King,DelhLppPSxY,78,74,1534052,262158696,1.0,60
1ozrNv9W4KlprAmvgH0Yrq,"High Rated Gabru (From ""Nawabzaade"")",hjWf8A0YNSE,63,67,6268590,1189265386,1.0,9
3ISKwLMuxKyp8mkxYpRzSa,Sounds Like a Melody,mO3IEDRsP2Q,51,63,271165,61347157,1.0,10
6mYrhCAGWzTdF8QnKuchXM,If I Could Turn Back Time,9n3A_-HRFfc,73,66,213756,49058988,1.0,19
2EMQJyCwBTfa2Vrur4ZFsP,Vur Yüreğim,I2CW4tLAZVM,49,62,35428,415375,1.0,13
0HuNPrWCyZpCx59pu9ON99,Immortality (feat. Bee Gees),WdYaGt_sm3Q,66,72,266225,61761502,1.0,12
7rK0iM6jwuo1oizdx8suQA,Is This Love ('09) (feat. 50 Cent),Zl64MRAqQxk,68,88,279994,7304938,1.0,19
72Z17vmmeQKAg8bptWvpVG,Space Oddity - 2015 Remaster,iYYRH4apXDo,73,75,1029573,118916792,1.0,45
2PPYZHvvu02e1pSdE1FfvD,Anbe En Anbe,5eOZMH8hZJk,24,71,19006,1824278,1.0,5
4yurVSNjaPBKkOpbZWtuJO,Kalla Sohna Nai,_87sQk_Ybsk,63,63,1179883,82584744,1.0,31
2L85gIDzIGLTmHCRUW2pHR,FOREVER,CkRWjZTPuMQ,37,58,22787,1141305,1.0,18
7fcfNW0XxTWlwVlftzfDOR,Walk,AkFqg5wAuFk,78,68,1624268,268122974,0.5,37
2JbwQteW6QQ2M2RIqGWY6h,RAGE,AQDICxhkAmU,43,63,2715,71347,-0.5,10
1fYypIR0kaFzaSRbzvtjl9,Indian Outlaw,kqlR4IEl_04,66,71,68320,7598660,0.0,12
4vJr55lngvhSM8WIh9CjQc,Cemetery Gates,RVMvART9kb8,70,68,403740,53843820,0.0,10
1WeoeHh0TSzsApyJ6Q8OOK,I'll Be Over You,r7XhWUDj-Ts,73,71,504794,86088643,1.0,15
4U6mBgGP8FXN6UH4T3AJhu,"Up Where We Belong - From ""An Officer And A Gentleman""",vVkHXGt-vzg,72,63,66874,6165143,1.0,20
3PqAnW2bB5TQnMoBivyFOb,Are You That Somebody,uTMuqL0qx08,71,66,92027,4713005,0.25,49
3lMgczyYCjVDpJX8Wl2ilu,Crying Out For Me,rb5c7oec4Xc,58,65,3128,177768,0.75,28
4ZD6SiaJi75smnel0d7jl3,Spiderwebs,6ZktNItwexo,64,66,148622,27304717,0.2,14
0V82wcNlunw76nvvmPL9tk,I Lay My Love on You - Remix,ZnOAK04tJhc,65,67,548243,146740908,0.0,5
3Uyxe1fbF4zWSEwy38qgMw,Neutron Dance,i-jdhorGtQI,52,61,64500,8660058,1.0,12
18fr7t1FKDUiOg8DXxiZwL,Se a Vida E (That's the Way Life Is) - 2018 Remaster,rLV52d7J8rA,52,65,27476,4314080,1.0,3
3fkPMWQ6cBNBLuFcPyMS8s,Burnin' for You,ipqqEFoJPL4,70,61,231417,34358459,0.5,13
6ckcEk6UhQmMF23PtsBbF4,Salaam-E-Ishq,zns53qYaQIo,46,74,561935,90703423,1.0,4
1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,SjqmSPZhF3s,87,85,168997,13569854,1.0,1100
3IV4swNduIRunHREK80owz,Rollin' (Air Raid Vehicle),RYnFIRc0k6E,79,73,1622413,274196262,1.0,40
7FsAFw1oZeTJUZmIzSh0cg,Underdog,izyZLKIWGiA,66,76,688663,56277577,0.6666666666666666,104
0DiWol3AO6WpXZgp0goxAV,One More Time,FGBhQbmPwH8,79,79,2932821,472216036,1.0,101
4FTq81I0X4J6y9X06GcZIN,I Get Lonely,euWjl-dBG9w,58,63,30137,2039340,0.0,13
7fW9J3EpVWVN1ouv0slAs0,"Kya Mujhe Pyar Hai (From ""Woh Lamhe"")",lrAM_H7v8wM,71,75,259517,15094227,1.0,18
1q4mBe3QIJIrXpwnpAbj95,Rockin' Bones,PfRmE5ui7sk,40,55,771,84064,0.5,3
1hZk9dktp4yRFTm0TrycuH,If I Lose Myself - Alesso vs OneRepublic,OOevVQwQ-LM,64,81,633610,159322582,0.5,75
3aHkbJXFYpPrup2K8wvDOV,We Still in this Bitch (feat. T.I. and Juicy J),1AABgXnPBqk,54,72,586649,80496734,0.3333333333333333,16
0C6EIiQu8CS4eYtOCMEiAd,Policy of Truth - 2006 Remaster,M2VBmHOYpV8,62,73,385695,99261307,1.0,16
75QTZG8XFYKb0HQIwgCzNE,Brand New Man,QzfRSm3Z01E,65,68,1465,52972,0.5,9
2Q0vnDYHgq4M9Ax3pahjPz,Because I Love You,rh8kKjDEbvM,52,50,74276,11136387,0.6666666666666666,4
48EQasc6XD0pOQtkIOWqOC,Locked Up,14PgWitIbSk,69,79,1190729,199707198,1.0,14
22wWxHGHRH8gZXNDXRgSqY,These Dreams,41P8UxneDJE,67,66,407982,75962020,0.2,15
2RkN688Mst0l8SIfZkx4Fx,Manmadhane Nee,iDqvHRhQdyk,6,74,142836,13620232,1.0,4
4cNOOkWBjY41prOyd2r6Jz,Manohari,snpV6awcBPo,0,0,1281396,218385591,0.25,0
2yWf3FJLwB0ytfOpgqLoa2,I Want A New Drug,J08ZwySCoJ8,51,62,117542,14991330,0.6666666666666666,5
7cpCU3Denug5NGZsSpQl8v,XO,7L-Rwxoc2jU,72,75,101916,17683048,0.75,24
2pXpURmn6zC5ZYDMms6fwa,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),SnunPV-XTbA,57,54,19670,2954607,1.0,7
5u6y4u5EgDv0peILf60H5t,Oye Como Va,J7ATTjg7tpE,69,70,177733,16901956,1.0,13
23EalGl7ADnaoAKrNExMFn,Quien Dijo,I-ELgeOEV9k,41,63,14897,1149241,0.0,5
4YwbSZaYeYja8Umyt222Qf,You Can't Hurry Love - 2016 Remaster,C9IwBJYTwQ0,80,74,88296,10373690,0.0,55
7L4G39PVgMfaeHRyi1ML7y,Day Dreaming,T-fz6TAipqo,62,69,17897,940402,1.0,5
6r46lnXFbE9fr2d3KNaGbe,Imitadora,FAq4OIRDo68,79,80,1283489,226964493,1.0,203
4ZsyrBZX0YMopDJjGpva5j,Flor de Tangerina,e4Ez99gCOiY,62,61,130214,8533408,-1.0,8
0snPJPxkk0MbTc0xeUvAPt,Dancing On The Ceiling,ovo6zwv6DX4,71,69,105093,18671492,0.5,18
0LrwgdLsFaWh9VXIjBRe8t,Changes - 2015 Remaster,4BgF7Y3q-as,70,75,40681,2783192,0.25,40
0mlnmHVwY0o096HMTRUsmJ,Me gusta como eres,hAxiPFE6pqM,55,66,132695,43488141,0.0,6
4TIJ7zSBNejpoIPaWpWRKc,Rebel Yell,VdphvuyaV_I,76,68,815525,140334909,1.0,27
1BmVQ5RGqqtF5cnsv6cQYu,"Girl, You'll Be A Woman Soon",qGvMjgLXBi0,64,66,53126,8256555,0.6000000000000001,5
3cXiUuiGpFmZ8OdAWKk8Ck,Lick It Up,Gcj34XixuYg,65,70,362686,57725558,0.25,9
7cnS0EPwBnP9ZIdGOAOY7c,Fake ID (Coke & Rum Remix),cvCGOdlsDHg,74,65,6345,247966,1.0,90
51HiIbv8gO0HvwpmAxXAFe,Sleep to Dream,L9Wnh0V4HMM,57,61,63493,7374979,-0.25,4
1BLOVHYYlH4JUHQGcpt75R,Ode To The Mets,BjC0KUxiMhc,68,74,253831,18754105,1.0,34
0RZVAhyB8vhxQz6ITjiuyA,Noise,LczGSoibRe8,56,64,160933,9547302,0.5,13
22folQ3QnjKJJbLio4clzr,Why Does My Heart Feel So Bad?,qT6XCvDUUsU,49,67,275644,39957858,1.0,5
0BRHnOFm6sjxN1i9LJrUDu,The Anthem,desJKYvdq9A,76,64,529605,87536044,1.0,41
0ACu78PvVsOFYIKgRkKbGZ,After All (Love Theme From Chances Are),QonKMNZo41k,67,66,65859,8533231,1.0,8
7zBQRGpYImAdIZc97FNj3V,"Shell Shocked (feat. Kill the Noise & Madsonik) - From ""Teenage Mutant Ninja Turtles""",BaACrT6Ydik,66,72,1518137,201044173,0.3333333333333333,35
0aULRU35N9kTj6O1xMULRR,Magic Stick,4KgFCkWJ1mI,61,63,1315,96584,0.0,9
3rjM7GhxdVq1YySsHBs21i,Animals,GjMANt85Mj4,71,75,2718,463015,0.5,20
6sFpmdsk4UDMcDWdy4T1Kc,Candy,6bLOjmY--TA,62,60,171801,28127923,0.75,9
1xShPgQbOUa98avWJQFDBY,Personal Jesus - Original Single Version,u1xrNaTO1bI,62,73,1032028,179694002,1.0,11
5E2v6b4Mo4jxuPrcK4YEIF,King Of Kings,dQl4izxPeNU,63,71,262398,33119573,1.0,8
2nklcPJ3YhYJfC2ibStXz9,#41,NTC__g12xPs,56,63,24040,4876607,0.6666666666666666,7
2QsoVMTKj5m5kgztTOep98,Hey Baby,wt1YkGO2Ieo,60,66,287719,56808672,1.0,10
2TxWkdptNrm2Z0CZfMr3Iq,I Don't Wanna Lose You,pLj5sBfGuQY,67,69,282762,46965924,0.0,8
32R7r1j2r13XwF62fT8sNt,Manasellam Mazhaiye,Q5_5VClHNlw,60,74,142539,21177706,1.0,4
4cMnESkXGcB6kIp6iPNUB2,Lose You,1Ju_dPhXSiE,55,70,10132,473835,0.25,26
7fyJO1frnsizz23gTKgbdt,It Wasn't Me,T_x6QmuJdms,56,47,266172,20400094,0.5,136
29nNU80zu0vscbrvTi55mG,I'm in a Hurry (And Don't Know Why),Qy01R9CEFFs,68,63,13747,2197841,1.0,18
29RcVe2M9l8rHyWHffBmjf,Last Dance - Single Version,G5rJunb4sIk,60,62,6140,406845,1.0,5
51pnSx6vfBzV8lkLLNFFpy,Buscando Guayaba,dL2v2hjYxc0,50,67,13257,2903616,0.5,4
2eqDUxbd0JPEhNrJdPlHLs,Adrenalina (feat. Jennifer Lopez & Ricky Martin),ME2Hufquz0k,65,74,2219193,920961537,1.0,105
4Hmuqk2w1fGqwpMP04aDUu,Amor Prohibido,SgP_YZjG9zA,71,68,85482,24402493,0.0,30
43gYYzuAUfrsXxurrxVyE9,Take Another Little Piece of My Heart,CIaPiw4p234,41,64,2136,215229,1.0,3
